number_of_accidents,totalVehicles,totalCasualties,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards
26,46,40,Darkness - lights unlit,Fine + high winds,Wet or damp,None,None
26,46,31,Daylight,Fine no high winds,Wet or damp,Roadworks,Other object on road
26,46,32,Darkness - lights lit,Raining + high winds,Wet or damp,None,Other object on road
25,46,38,Darkness - lights lit,Raining + high winds,Dry,None,None
24,39,29,Darkness - lights lit,Fine no high winds,Wet or damp,Road surface defective,None
24,33,30,Darkness - no lighting,Raining + high winds,Wet or damp,Mud,None
24,41,28,Daylight,Fine no high winds,Frost or ice,Mud,None
23,31,27,Daylight,Fine no high winds,Frost or ice,Road surface defective,None
23,37,34,Daylight,Other,Wet or damp,Oil or diesel,None
23,49,41,Darkness - no lighting,Raining no high winds,Dry,None,None
23,44,32,Darkness - lights lit,Fine no high winds,Wet or damp,Road sign or marking defective or obscured,None
22,42,36,Darkness - lights lit,Fine no high winds,Dry,Oil or diesel,None
22,34,35,Daylight,Raining + high winds,Wet or damp,Mud,None
22,33,28,Darkness - lighting unknown,Fine no high winds,Dry,None,Any animal in carriageway (except ridden horse)
22,32,30,Darkness - no lighting,Fine no high winds,Snow,None,None
22,34,33,Daylight,Fine + high winds,Wet or damp,None,Other object on road
22,27,33,Darkness - no lighting,Fine no high winds,Wet or damp,Road surface defective,None
21,41,21,Darkness - lighting unknown,Raining no high winds,Wet or damp,Roadworks,None
20,30,22,Darkness - no lighting,Fine no high winds,Dry,None,Pedestrian in carriageway not injured
20,38,24,Darkness - lights lit,Snowing + high winds,Frost or ice,None,None
19,27,27,Daylight,Raining + high winds,Wet or damp,Road surface defective,None
19,27,22,Daylight,Fine no high winds,Dry,Auto traffic signal - out,Vehicle load on road
19,37,21,Daylight,Raining no high winds,Wet or damp,Roadworks,Other object on road
19,36,33,Darkness - lights lit,Other,Wet or damp,Roadworks,None
18,37,24,Daylight,Fine no high winds,Frost or ice,Roadworks,None
18,32,32,Darkness - lights lit,Raining no high winds,Wet or damp,Roadworks,Other object on road
18,31,21,Daylight,Fine no high winds,Frost or ice,None,Other object on road
18,30,33,Darkness - no lighting,Fine no high winds,Flood over 3cm. deep,None,None
18,29,24,Darkness - lights lit,Raining no high winds,Wet or damp,Road surface defective,None
18,29,21,Darkness - lights lit,Fine no high winds,Wet or damp,Mud,None
17,29,22,Darkness - no lighting,Fine no high winds,Dry,Roadworks,Other object on road
17,35,24,Darkness - no lighting,Raining no high winds,Wet or damp,Oil or diesel,None
17,25,25,Daylight,Raining + high winds,Frost or ice,None,None
17,43,22,Daylight,Fine no high winds,Frost or ice,None,Previous accident
16,18,19,Darkness - no lighting,Fog or mist,Wet or damp,None,Any animal in carriageway (except ridden horse)
16,26,22,Darkness - lights lit,Raining + high winds,Wet or damp,Roadworks,None
16,28,20,Darkness - no lighting,Fine no high winds,Wet or damp,Road sign or marking defective or obscured,None
16,24,21,Daylight,Fine + high winds,Wet or damp,Mud,None
16,24,23,Darkness - no lighting,Fine no high winds,Wet or damp,Oil or diesel,None
15,25,18,Darkness - lights unlit,Other,Frost or ice,None,None
15,24,20,Darkness - lighting unknown,Fog or mist,Dry,None,None
15,26,21,Darkness - lighting unknown,Snowing no high winds,Wet or damp,None,None
15,17,15,Darkness - no lighting,Other,Wet or damp,None,Any animal in carriageway (except ridden horse)
14,27,27,Daylight,Fine no high winds,Wet or damp,Auto signal part defective,None
14,20,18,Darkness - lights lit,Fine + high winds,Dry,None,Other object on road
14,27,17,Darkness - lights lit,Raining no high winds,Snow,None,None
14,24,19,Darkness - lighting unknown,Fine no high winds,Wet or damp,Roadworks,None
14,24,18,Darkness - lights lit,Snowing no high winds,Dry,None,None
14,22,19,Daylight,Fine + high winds,Snow,None,None
14,17,16,Darkness - no lighting,Other,Wet or damp,Mud,None
14,30,26,Darkness - lights lit,Fine no high winds,Wet or damp,Auto signal part defective,None
14,23,19,Darkness - lights lit,Fine no high winds,Wet or damp,Roadworks,Other object on road
13,23,18,Darkness - lights lit,Raining no high winds,Wet or damp,Auto signal part defective,None
13,32,23,Daylight,Fine + high winds,Wet or damp,Roadworks,None
13,22,24,Darkness - no lighting,Fine + high winds,Dry,None,Other object on road
13,13,15,Darkness - no lighting,Raining + high winds,Wet or damp,None,Any animal in carriageway (except ridden horse)
13,34,18,Darkness - no lighting,Raining no high winds,Wet or damp,None,Vehicle load on road
13,19,16,Daylight,Fine no high winds,Wet or damp,Mud,Other object on road
13,23,23,Darkness - lights lit,Other,Snow,None,None
12,12,16,Darkness - lights unlit,Fine no high winds,Dry,None,Any animal in carriageway (except ridden horse)
12,24,21,Daylight,Raining no high winds,Wet or damp,Road surface defective,Other object on road
12,18,17,Daylight,Raining + high winds,Wet or damp,None,Any animal in carriageway (except ridden horse)
12,17,16,Darkness - no lighting,Fine + high winds,Frost or ice,None,None
12,21,13,Darkness - lights lit,Fine + high winds,Dry,Roadworks,None
12,23,17,Daylight,Other,Dry,Auto traffic signal - out,None
12,25,24,Darkness - no lighting,Fine no high winds,Wet or damp,Auto traffic signal - out,None
12,23,15,Darkness - lighting unknown,Fine no high winds,Dry,Road surface defective,None
12,19,12,Darkness - no lighting,Fine no high winds,Wet or damp,None,Vehicle load on road
12,22,17,Darkness - lights unlit,Fine no high winds,Dry,Auto traffic signal - out,None
12,20,16,Darkness - no lighting,Raining + high winds,Wet or damp,Roadworks,None
12,17,15,Darkness - no lighting,Fog or mist,Wet or damp,None,Other object on road
12,20,14,Darkness - lights unlit,Snowing no high winds,Wet or damp,None,None
12,20,16,Darkness - lights lit,Fine + high winds,Wet or damp,None,Other object on road
12,18,13,Daylight,Fine no high winds,Dry,Oil or diesel,Other object on road
11,16,15,Darkness - lights lit,Fine + high winds,Frost or ice,None,None
11,20,17,Darkness - no lighting,Fine no high winds,Dry,Auto traffic signal - out,None
11,16,15,Darkness - no lighting,Raining no high winds,Wet or damp,Auto traffic signal - out,None
11,12,15,Daylight,Other,Wet or damp,None,Pedestrian in carriageway not injured
11,19,16,Darkness - lights lit,Fine no high winds,Dry,Mud,None
11,15,17,Darkness - lighting unknown,Fine no high winds,Wet or damp,None,Other object on road
11,22,14,Daylight,Raining no high winds,Wet or damp,Auto signal part defective,None
11,53,30,Daylight,Snowing + high winds,Snow,None,Previous accident
11,21,16,Darkness - lights unlit,Raining no high winds,Wet or damp,Roadworks,None
11,12,11,Daylight,Fine no high winds,Dry,Mud,Other object on road
11,22,15,Darkness - lights lit,Other,Dry,Roadworks,None
11,15,13,Daylight,Raining no high winds,Wet or damp,Oil or diesel,Other object on road
10,16,15,Daylight,Other,Dry,None,Pedestrian in carriageway not injured
10,19,11,Daylight,Fine + high winds,Dry,None,Vehicle load on road
10,30,16,Daylight,Raining + high winds,Wet or damp,None,Previous accident
10,20,10,Darkness - lights lit,Fine no high winds,Frost or ice,None,Other object on road
10,15,11,Daylight,Other,Frost or ice,Road surface defective,None
10,14,10,Daylight,Fine no high winds,Frost or ice,None,Any animal in carriageway (except ridden horse)
10,17,13,Daylight,Fine no high winds,Dry,Roadworks,Pedestrian in carriageway not injured
10,22,13,Darkness - no lighting,Fine + high winds,Wet or damp,None,Other object on road
